ID,Project,Keywords,Coordinator,Country
0,Orchid Observers,"Climate Change, Botany", ,
1,The Ladybird Experiment - Nyckelpigeförsöket,"Monitoring, Artificial Intelligence, Biodiversity",Vetenskap & Allmänhet (VA – P…,Sweden
2,The News Evaluator – Nyhetsvärderaren,"Online News, Fake News, Source Criticism, Macro-regional",Vetenskap & Allmänhet (VA – P…,Sweden
3,Make it Special,"Fablab, Maker, Special Education",Ibercivis Foundation,Spain
4,Observadores del mar,"Ocean, Marine, Sea", ,
5,D-NOSES,"Noses, Pollution, Odour",Ibercivis Foundation,Spain
6,Micromascotas,"Education, Microbiology, Microorganism",Ibercivis Foundation,Spain
7,Fresh Water Watch,"Environment, Freshwater, Pollution", ,
8,Naturehood,"Local, Wildlife, Nature", ,
9,Capturing our Coast,"Coastal, Marine, Biodiversity", ,
10,Earthworm Watch,"Carbon, Soil, Earthworm", ,
11,Big Garden Birdwatch,"Garden, Birds, Local", ,UK
12,WeObserve,"Communities Of Practice, Environmental Monitoring, Citizen Observatories, Regional",International Institute for A…,Germany
13,The Nightingale Research Project - a citizen science project on the natural and cultural history of nightingales,"Bird Song, Urban Nature, Birds",Museum für Naturkunde Berlin,Germany
14,CS4Welfare - Citizen Science as an Innovative Form of Citizen Participation for Welfare Society Development,"Welfare Society, Local Communities, Social Innovation", ,
15,EU-Citizen.Science,"Infrastructure, Platform, Citizen Science",Museum für Naturkunde Berlin,Spain
16,Big Seaweed Search,"Environment, Ocean, Biodiversity, Climate Change", ,
17,Car-based Bat Monitoring,"Sound, Conservation, Bat", ,
18,ECSAnVis,"Low Literacy, Traditional Ecological Knowledge", ,UK
19,Vigilantes del aire,"Sample Collection, Air Quality, Biosensors, National",Ibercivis Foundation,Spain
20,FotoQuest Go,"Land Use Land Cover Monitoring, Citizen Science", ,
21,Picture Pile,"Earth Observation, Post Disaster Damage Assessment, Deforestation, Classification, Citizen Science", ,
22,LandSense,"Earth Observation, In-Situ Monitoring, Innovation", ,
23,GROW Observatory,"Regenerative Food Growing, Satellite Validation, Soil Moisture", ,
24,Mosquito Alert,"Global Diseases, Mosquito, Public Health", ,
25,The Acoustic Experiment – Akustikförsöket,"Schools, Classrooms, Acoustics, Macro-regional, National",Vetenskap & Allmänhet (VA – P…,Sweden
26,The Best-Before-Date Experiment (Bäst före-försöket),"Temperature, Refrigeration, Food Storage, National",Vetenskap & Allmänhet (VA – P…,Sweden
27,The Risk Picture – Riskbilden,"Risk, Schools, Images, National",Vetenskap & Allmänhet (VA – P…,Sweden
28,The Autumn Experiment – Höstförsöket,"Phenology, Schools, Autumn, National",Vetenskap & Allmänhet (VA – P…,Sweden
29,The Vegetable Experiment - Grönsaksförsöket,"Schools, Nutrition, National",Vetenskap & Allmänhet (VA – P…,Sweden
30,The Tea Bag Experiment - Tepåseförsöket,"Decomposition, Tea Bag Index, Soil, National",Vetenskap & Allmänhet (VA – P…,Sweden
31,The Notice Board - Anslagstavlan,"Communication, Citizen Humanities, Notice Boards",Vetenskap & Allmänhet (VA – P…,Sweden
32,Identificación de asteroides cercanos a la Tierra (Near-Earth Asteroids precovery),"Astronomy, Virtual Observatory, Asteroids", ,
33,URwatair,"Greece, Measurement Scenarios, Citizen Workshops, Collaborative Data Analytics And Kwnoledge Extraction, Low Cost Air Quality Sensors, Rain Water Management, Air Pollution, Citizen Science, City",Aristotle University of Thess…,Greece
34,Malaria Spot,"Tuberculosis, Malaria, Public Health", ,
35,Biodiversidad Virtual,"Photography, Conservation, Biodiversity", ,Spain
36,Project Roadkill,"Vertebrates, Animal-Vehicle-Collision, Road Ecology", ,Austria
37,Cos4Cloud,"Technology, Open Science, Citizen Observatory", ,Spain
38,Cities at night,Astronomy, ,
39,The Star-Spotting Experiment (Stjärnförsöket),"Astronomy, Education, Light Pollution, Macro-regional",Vetenskap & Allmänhet (VA – P…,Sweden
40,Project Plumage,"Online, Biology, Natural History, Birds, Nature", ,UK
41,GripeNet,"Influenza, Monitoring", ,Portugal
42,Plant Letters,"Historical Archives, Handwritten Letters, Plants", ,
43,Memória para Todos,"Historical Research, Heritage, Memory", ,
44,MosquitoWeb,"Invasive Mosquitos, Monitoring", ,Portugal
45,Invasoras - Invasive Plants in Portugal,"Invasive Plants, Monitoring", ,Portugal
46,Biodiversity4all,"Digital Platform, Biodiversity", ,
47,FoldIt:Quarantine Edition,"Biochemistry, Protein-Folding, Global Diseases", ,USA
48,Folding@Home - Coronavirus,"Biochemistry, Protein-Folding, Coronavirus, Global Diseases", ,
49,LIFE ESC360 - 360 Volunteers for monitoring forest biodiversity in the Italian Natura 2000 Network,"Environmental Monitoring, Biodiversity", ,
50,CoKoNet,"Coronavirus, Collaborative Data Analytics And Kwnoledge Extraction, Public Health", ,
51,MammalWeb,"Wildlife, Nature, Monitoring, Biodiversity", ,
52,CoAstro - @n Astronomy Condo,Astronomy, ,
53,Observation.org,"Plants, Bat, Urban Nature, Garden, Birds, Wildlife, Nature, Environment, Biodiversity, Botany", ,
54,GrowApp,"Photography, Environmental Monitoring, Climate Change", ,
55,GLOBE,"Science, Global, Teachers, Schools, Education, Environment", ,
56,Machine learning as a citizen science tool to improve the quality of life of older people and their caregivers.,"Psychology, Artificial Intelligence", ,
