year,kind,rating,vote,country,runtime,genre1,genre2
2003.0,2,7.7,474.0,62,50.0,6,2
1994.0,7,8.1,18.0,62,83.0,8,27
1992.0,1,5.5,93.0,37,102.8877434135166,0,20
2004.0,1,5.3,13432.0,62,60.0,6,4
1991.0,1,4.5,2177.0,62,96.0,4,13
1988.0,7,8.0,81.0,62,55.0,6,14
2005.0,7,4.8,7153.0,61,118.0,0,4
1990.0,3,7.1,2898.0,62,58.0,0,7
1972.0,1,6.8,1818.0,30,15.0,1,4
2001.0,3,7.6,768.0,61,75.0,7,4
2004.0,0,7.2,67.0,62,205.0,2,1
2001.0,3,7.2,901.0,62,87.0,7,12
1999.0,0,7.7,286.0,62,55.0,6,14
2000.0,4,7.6,23785.0,62,85.0,2,4
1998.0,7,4.6,1484.0,62,117.0,2,1
1993.0,2,6.9,1605.0,61,90.0,7,19
1973.0,1,7.1,911.0,37,92.0,0,7
2003.0,7,2.8,120.0,62,72.0,18,27
1996.0,2,5.3,129.0,23,145.0,7,4
1986.0,1,5.7,6778.0,62,103.0,4,13
1996.0,1,7.0,6850.0,62,114.0,7,27
1993.0,7,8.3,102.0,62,45.0,6,4
2002.0,1,7.5,3562.0,62,74.0,6,12
2003.0,7,1.6,210.0,10,82.0,13,24
2003.0,1,7.6,18930.0,7,105.0,7,5
1996.0,1,6.5,94804.0,62,97.0,0,1
2004.0,1,4.8,166.0,27,118.0,4,19
2004.0,1,6.3,35678.0,61,24.0,3,7
1999.0,3,7.4,112.0,62,92.0,6,14
1985.0,1,4.1,2370.0,62,25.0,1,9
1997.0,7,5.5,1550.0,49,88.60975609756098,9,13
2001.0,4,8.3,20289.0,62,75.0,2,0
1994.0,1,7.4,481.0,62,97.82007952286283,6,3
1974.0,1,7.5,2968.0,54,99.0,0,1
1999.0,1,7.2,2040.0,59,96.0,4,5
2004.0,2,8.0,31414.0,37,160.0,2,0
1996.0,1,4.7,726.0,27,110.0,0,27
1998.0,4,7.5,636.0,37,100.0,2,0
1996.0,7,8.5,230.0,62,60.0,6,14
1985.0,1,6.7,497.0,39,103.0,4,7
2000.0,3,6.6,76.0,62,150.0,6,27
1989.0,1,6.7,123.0,27,92.0,4,7
2004.0,1,6.9,2915.0,23,94.0,7,27
2004.0,7,8.9,148.0,62,95.0,6,14
1993.0,1,7.2,322.0,23,24.0,6,25
2000.0,7,8.0,3007.0,62,98.0,6,0
1988.0,2,6.9,1589.0,37,110.0,2,0
1973.0,2,8.1,293.0,61,91.0,16,27
2004.0,1,7.1,3586.0,55,108.0,4,7
2002.0,1,5.5,1397.0,62,85.0,7,19
2004.0,7,7.6,84.0,62,60.0,14,27
2002.0,1,5.6,65498.0,10,88.0,7,16
1995.0,1,6.7,3692.0,62,232.0,0,4
1985.0,1,7.4,3772.0,27,68.0,0,4
2003.0,7,2.7,1662.0,62,101.0,13,27
2001.0,1,3.9,2853.0,55,82.0,0,1
1999.0,4,8.5,8010.0,37,102.0,2,4
1978.0,1,5.6,1382.0,61,88.0,4,16
2003.0,1,6.4,482.0,27,166.0,0,5
1999.0,1,5.9,1534.0,27,134.0,0,4
1978.0,1,6.9,3746.0,23,101.04347826086956,4,7
2005.0,7,3.6,299.0,10,86.0,13,27
1988.0,1,4.0,140.0,62,88.0,13,27
2002.0,7,7.3,18.0,62,103.0,6,22
1971.0,1,8.5,11015.0,54,95.0,4,5
2000.0,2,7.3,2912.0,61,102.0,1,4
1969.0,0,6.8,2063.0,61,66.0,22,27
2003.0,1,5.5,1491.0,10,100.02037351443124,7,19
1982.0,1,7.7,4040.0,62,101.04347826086956,4,27
2004.0,1,7.9,59473.0,23,45.0,4,7
1996.0,1,6.8,1433.0,24,90.0,4,5
2002.0,1,8.0,911.0,10,108.0,6,27
2001.0,1,7.8,2778.0,62,97.82007952286283,6,14
2001.0,7,8.0,259.0,62,91.0,14,27
2003.0,1,7.4,527257.0,62,60.0,0,20
2001.0,4,6.1,137.0,37,100.0,2,13
2005.0,1,6.7,21.0,61,100.0,6,27
2004.0,3,6.5,398.0,10,84.0,7,27
1992.0,1,7.7,140.0,10,60.0,6,14
2001.0,3,6.0,317.0,62,100.02037351443124,7,14
2002.0,1,6.2,418.0,57,90.0,6,27
2004.0,7,7.8,368.0,62,65.0,6,27
1993.0,4,8.0,56687.0,62,101.0,0,1
2003.0,1,7.3,956.0,62,160.0,6,3
1982.0,1,6.7,6270.0,65,119.0,7,27
1995.0,1,6.1,831.0,61,42.0,7,27
1981.0,2,8.6,288.0,61,86.0,3,7
2004.0,3,7.7,978.0,61,89.0,6,7
1999.0,0,7.4,794.0,61,118.0,5,7
1996.0,1,4.9,1001.0,62,75.0,5,13
2001.0,1,8.1,164.0,62,100.0,4,27
2003.0,7,8.7,371.0,61,100.0,6,14
2002.0,1,7.4,1448.0,32,88.0,7,25
1919.0,1,7.3,9947.0,62,76.0,7,19
1976.0,1,7.7,8088.0,61,94.0,6,14
2003.0,7,6.5,2068.0,62,92.0,2,1
1997.0,1,8.1,46163.0,37,100.0,2,0
2003.0,4,6.4,128.0,37,85.0,1,2
1999.0,0,7.9,899.0,61,93.0,5,7
2002.0,7,4.7,6544.0,62,119.0,2,1
1999.0,1,6.2,5245.0,30,30.0,7,19
1967.0,1,7.5,2436.0,61,75.0,7,12
2001.0,4,5.8,416.0,61,89.0,2,8
1942.0,1,6.1,6167.0,62,114.0,2,21
1973.0,1,6.5,826.0,37,90.0,0,5
1999.0,7,5.4,610.0,62,76.0,0,20
1991.0,1,5.3,413.0,50,91.0,7,27
1984.0,1,6.0,2925.0,62,120.0,4,19
1998.0,1,7.9,91.0,61,77.0,14,27
1993.0,1,7.2,7668.0,27,102.8877434135166,0,4
1997.0,1,6.2,67.0,37,101.98740157480314,2,4
1996.0,3,7.0,4208.0,62,65.0,7,24
2005.0,7,3.3,502.0,62,101.0,0,13
1994.0,1,5.9,14.0,62,108.0,6,14
